condition;iter;t;dt;mu;doubling_time;density;consistent;mu_diff
70;37700;0.00932899;6.8648e-10;0.360108;2.25367;1;1;0
70;37800;0.00932902;1.37296e-10;0.360108;2.25367;1;1;0
70;37900;0.00932904;2.74592e-10;0.360108;2.25367;1;1;0
70;38000;0.00932906;8.78694e-13;0.360108;2.25367;1;1;0
70;38100;0.00932906;1.75739e-12;0.360108;2.25367;1;1;0
70;38200;0.00932906;3.51478e-12;0.360108;2.25367;1;1;0
70;38300;0.00932906;7.02955e-12;0.360108;2.25367;1;1;0
70;38400;0.00932906;1.40591e-11;0.360108;2.25367;1;1;0
70;38500;0.00932906;2.81182e-11;0.360108;2.25367;1;1;0
70;38600;0.00932907;5.62364e-11;0.360108;2.25367;1;1;0
70;38700;0.00932908;1.12473e-10;0.360108;2.25367;1;1;0
70;38800;0.00932909;2.24946e-10;0.360108;2.25367;1;1;0
70;38900;0.00932911;8.99783e-11;0.360108;2.25367;1;1;0
70;39000;0.00932912;1.79957e-10;0.360108;2.25367;1;1;0
70;39100;0.00932914;7.19826e-11;0.360108;2.25367;1;1;0
70;39200;0.00932915;1.43965e-10;0.360108;2.25367;1;1;0
70;39300;0.00932917;2.8793e-10;0.360108;2.25367;1;1;0
70;39400;0.0093292;5.75861e-10;0.360108;2.25367;1;1;0
